latitude,longitude,size
40.717532924,-73.9891233687,14090
41.8781220598,-87.6298007379,3834
33.4484884421,-112.074091384,2813
33.4471721027,-111.902206631,2282
38.8867357849,-77.0481571475,2693
37.688448627,-122.409254781,3856
33.7678518493,-84.3932918885,1818
42.3630815343,-71.0741511709,1643
47.6063131142,-122.331996053,1518
33.3569971696,-111.822593804,1303
36.1168824508,-115.171291673,1166
44.9776429324,-93.2681449876,1081
30.2672627558,-97.7429347968,1114
34.0598978755,-118.249425325,990
39.9522532803,-75.1637771768,1053
40.7702911238,-73.8387078003,713
34.0326666844,-118.438312887,687
32.9811961393,-117.078357649,903
28.5424519121,-81.3767776568,791
39.7347569393,-104.989694183,793
32.8029972357,-96.7699008,813
37.3471559525,-121.939110906,678
34.1287908266,-118.35278693,525
43.0406651003,-87.9156083893,628
-6.21258698064,106.843249434,679
25.7868963741,-80.2143981129,704
29.7624851979,-95.3831078218,665
37.3971411859,-122.094099002,570
32.7098709821,-117.152573336,559
45.5227661205,-122.675731586,572
43.6532483749,-79.382837067,519
33.8113807695,-117.894821253,453
32.2217429,-110.926479,492
27.9494979256,-82.4648848896,454
33.918284297,-118.414806369,449
33.6880114059,-117.841578417,312
39.7681610815,-86.1577201012,421
34.1617098149,-118.231964146,92
39.9974937194,-83.0001982393,401
39.2865514955,-76.6144061238,381
40.7852775031,-74.1788843931,313
39.0994273927,-94.5830071508,388
35.2279551864,-80.843396892,375
37.8028841699,-122.267510375,384
47.643293456,-122.167736727,372
40.4393770659,-79.9962544485,318
40.8707542324,-73.8589689664,306
33.6442974756,-117.948737151,316
34.1910529529,-118.446038914,183
40.7102836158,-73.5946860231,406
34.127880378,-118.119934322,266
33.811378292,-118.143621406,297
38.878589401,-77.2407449077,313
37.5376011912,-122.291360562,304
40.8931914509,-74.0765068779,276
29.4245584281,-98.4934131396,287
51.5035078596,-0.126551523759,291
38.6457258681,-90.2254606735,270
35.7710106918,-78.6375689079,277
26.1097176949,-80.1595997986,223
44.9586492567,-93.1189803074,240
38.9809811849,-77.402594234,218
29.9653813082,-90.0792559459,231
33.5565803672,-112.208273886,319
39.012125942,-77.0893831894,180
41.488443071,-81.7107619139,195
39.1291712804,-84.5021068457,235
38.5814923171,-121.495477041,222
40.9766836778,-73.7698641247,189
49.2436161785,-123.110130265,191
34.1978778889,-118.557206139,153
40.7187476547,-74.27930064,167
36.1642160166,-86.7803642364,188
44.8807892134,-93.3240648629,168
34.0861965489,-117.979572642,152
41.2535696055,-95.9986556768,179
40.0149856,-105.2705456,181
37.5429274709,-77.4683367109,175
37.6923125822,-122.095782572,174
33.9660771587,-84.5661410326,186
42.0567796099,-87.801753186,182
36.0870573942,-86.6489579575,170
32.9314106598,-97.0737802657,152
40.6131589434,-74.1326033777,144
32.824891403,-97.0903078543,90
33.4823791466,-112.364209582,177
42.8925163006,-78.8750657132,146
40.4983688361,-74.4241246608,155
43.0729045917,-89.4003191268,157
30.3325274019,-81.6546482154,156
42.3355715084,-83.0447319639,155
33.8891961026,-118.064634688,144
41.0785964342,-73.4998139243,141
42.0453113563,-88.0385950291,96
42.4856835747,-83.154775284,137
35.1493537434,-90.0481654329,143
42.9598615147,-85.6684883091,143
43.1636456965,-77.6143138064,141
